HOLE_M3:4
J1:1
J10:1
J11:1
J12:1
J13:1
J2:1
J8:1
J9:1
JP1:1
JP2:1
JP3:1
JP4:1
JP5:1
PSP_JOY:1
Q1:1
Q2:1
R1:1
R2:1
SW1:1
SW2:1
SW3:1
SW4:1
U1:1
